rm -f *.o test
[3;J[H[2Jg++ -Wall -std=c++11 -g -O3    -c -o swap_space.o swap_space.cpp
g++ -Wall -std=c++11 -g -O3    -c -o backing_store.o backing_store.cpp
g++ -Wall -std=c++11 -g -O3     test.cpp betree.hpp swap_space.o backing_store.o   -o test
queries,2,128,67
upserts,2,100,223
queries,4,128,60
upserts,4,100,143
queries,8,128,39
upserts,8,100,165
queries,16,128,41
upserts,16,100,133
queries,32,128,36
upserts,32,100,138
queries,2,256,88
upserts,2,200,274
queries,4,256,84
upserts,4,200,260
queries,8,256,76
upserts,8,200,257
queries,16,256,97
upserts,16,200,327
queries,32,256,97
upserts,32,200,361
queries,64,256,90
upserts,64,200,288
queries,2,512,234
upserts,2,500,812
queries,4,512,287
upserts,4,500,698
queries,8,512,171
upserts,8,500,771
queries,16,512,197
upserts,16,500,807
queries,32,512,190
upserts,32,500,614
queries,64,512,332
upserts,64,500,1122
queries,128,512,28833
upserts,128,500,2247
queries,2,1024,533
upserts,2,1000,1924
queries,4,1024,474
upserts,4,1000,1726
queries,8,1024,438
upserts,8,1000,1356
queries,16,1024,560
upserts,16,1000,1630
queries,32,1024,362
upserts,32,1000,1511
queries,64,1024,952
upserts,64,1000,1906
queries,128,1024,805997
upserts,128,1000,279678
queries,256,1024,1733240
upserts,256,1000,393570
queries,2,2048,1285
upserts,2,2000,4457
queries,4,2048,1462
upserts,4,2000,7117
queries,8,2048,688
upserts,8,2000,3058
queries,16,2048,692
upserts,16,2000,2955
queries,32,2048,617
upserts,32,2000,2770
queries,64,2048,1263
upserts,64,2000,3717
queries,128,2048,5880161
upserts,128,2000,658667
queries,256,2048,6479635
upserts,256,2000,829346
queries,512,2048,7012095
upserts,512,2000,1017570
